"Name (english)","Acronym (english)","Name (french)","Acronym (French)","Street","Postcode","Town","Country","Tel","Fax","Website","Email","Funding","Nature of organisation","President First Name","President Last Name","President Address","SG First Name","SG Last Name","SG Address","Year of foundation","Staff","Number of members","Working languages","Official languages","Committes","Geographical representation","Areas of competence","yearStatus"
"European Union of Jewish Students","EUJS","Union européenne des étudiants juifs","EUJS","Avenue Antoine Depage 3","1000","Brussels","Belgium","0032 2 647 72 79","","eujs.org","","Public funding, Private donations","Association","Andrea","Gergely","Avenue Antoine Depage 3 1000 Brussels","Nathan","Chicheportiche","Avenue Antoine Depage 3 1000 Brussels","1978","2","34","English,","French, English","Democracy, Social Cohesion and Global Challenges, Human Rights","Austria, Belgium, Bulgaria, Croatia, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Slovakia, Sweden, Turkey, Greece, Albania, the former Yugoslav Republic of Macedonia, Latvia, Luxembourg, Ukraine, Bosnia and Herzegovina, Serbia, Russian Federation, United Kingdom, Belarus","Human rights, Democracy, Education and Culture, Youth, Youth policy, Youth participation","2008"
"European Union of Judges in Commercial Matters","EUJC","Union européenne des Magistrats statuant en matière commerciale","UEMC","Palais de Justice de Strasbourg Quai Finkmatt","67000","Strasbourg","France","+43 1 6160303-27","+43 1 6160303-6","www.eujc.eu","","Member fees","Association","Rainer","SEDELMAYER","A-1230 WIEN, Gorskistrasse 16","Dieter","KUNZLER","D-60386 FRANKFURT/, Fachfeldstrasse 47b","1989","0","1 200","English, French, German","DE, EN, FR, NL","Democracy, Social Cohesion and Global Challenges, Human Rights","Austria, Belgium, France, Germany, Switzerland","Human rights, International Co-operation, Rule of Law","1995"
"European Union of Rechtspfleger/Court clerks","UEJR","Union Européenne des Greffiers de Justice","EUR","24, rue de la Canardière","67100","STRASBOURG","France","+33(0)683617805","","www.eu-rechtspfleger.eu","","","Federation","Jean-Jacques","KUSTER","24, rue de la Canardière F 67100 STRASBOURG","Maryse","GALON","eur_generalsecretary@yahoo.fr","1967","0","16","","","Democracy, Social Cohesion and Global Challenges, Human Rights","Austria, Belgium, Danemark, Estonia, Finland, France, Germany, Italy, Luxembourg, Netherlands, Norway, Poland, Portugal, Romania, Spain, Sweden","Human rights, International Co-operation, Rule of Law, Social Cohension","1971"
"European Union of the Deaf","EUD","Union européenne des sourds","EUD","rue de la Loi 26/15","1040","Brussels","Belgium","","-323","www.eud.eu","","Member fees","Federation","Berglind","Stefánsdóttir","","Mark","Wheatley","","24","2","0","English and International Sign","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Slovakia, Sweden, Turkey, Greece, the former Yugoslav Republic of Macedonia, Latvia, Luxembourg, Malta, Bosnia and Herzegovina, Serbia, Iceland, United Kingdom","Human rights, Democracy, International Co-operation, Education and Culture, Health","1990"
"European Union of Women","EUW","Union Européenne Féminine","UEF","38, Rue GIROUARD - BP444","86011","Poitiers cedex","France","0033 549 52 28 46","","in production","emorinchartier.euw@gmail.com","Member fees","Association","Elisabeth","MORIN-CHARTIER","9, rue de l'aviation 86000 Poitiers","Stéphanie","DOMAS","Elisabeth Morin-Chartier BP444 86011 Poitiers cedex","1953","1","30 000","English, French, German","English, French, German","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Austria, Cyprus, Danemark, Spain, Estonia, France, Germany, Hungary, Italy, Lithuania, Norway, Poland, Romania, Slovenia, Switzerland, Slovakia, Sweden, Greece, Luxembourg, Malta, United Kingdom","Human rights, Democracy, Social Cohension, International Co-operation, Education and Culture, Rule of Law, Health, Environment and sustanable development, Media and Communication","2007"
"European Volunteer Centre","CEV","Centre européen du volontariat","CEV","Rue de la Science, 10","1000","Brussels","Belgium","+ 32 2 511 75 01","+ 32 2 514 59 89","www.cev.be","","Public funding, Private donations","Association","Eva","Hambach","Rue de la Science 10, 1000 Bruxelles","Gabriella","Civico","Rue de la Science 10, 1000 Bruxelles","0","3","80","English","English","Democracy, Social Cohesion and Global Challenges, Education and Culture","Austria, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Latvia, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Russian Federation, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom","Democracy, Promotion of democratic values and education for democratic citizenship, Education and Culture, Education for Democratic Citizenship, Other, International Co-operation, Social Cohension, Sport, Youth","2008"
"European Women Lawyers Association","EWLA","Association européenne des femmes juristes","EWLA","Avenue Louise 522n bôite 11","1050","Brussels","Belgium","","","www.ewla.org","","","Association","Herdis","Thorgeirsdottir","","","","","0","0","0","","","","","","0"
"European Women's Lobby","*","Lobby européen des Femmes","*","18, rue Hydraulique","1210","Brussels","Belgium","+32 2 217 90 20","+32 2 219 84 51","www.womenlobby.org","","Member fees, Public funding, Private donations","Association","Kirsti","Kolthoff","","Myria","Vassiliadou","18, rue Hydraulique 1210 Brussels Belgium","1990","12","2 000","English","10","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Austria, Belgium, Bulgaria, Croatia, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Portugal, Romania, Slovenia, Slovakia, Sweden, Turkey, Greece, the former Yugoslav Republic of Macedonia, Latvia, Luxembourg, Malta, United Kingdom","Human rights, Economics and social rights, Gender equality, Trafficking in human beings, Democracy, Social Cohension, Fight against poverty and social exclusion, Fight against violence, Family, Migration","0"
"European Youth Forum","YFJ","Forum européen de la jeunesse","YFJ","Rue de l’Industrie, 10","1000","Brussels","Belgium","+ 32 2 793 75 20","+ 32 2 893 25 80","www.youthforum.org","youthforum@youthforum.org","Public funding, Private donations","Federation","Johanna","Nyman","","Alan","Päll","","1996","30","99","English, French","The official languages of the High Contracting parties to t","Democracy, Social Cohesion and Global Challenges, Education and Culture","Albania, Andorra, Armenia, Austria, Azerbaijan, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Moldova, Monaco, Montenegro, Netherlands, Norway, Poland, Portugal, Romania, Russian Federation, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, the former Yugoslav Republic of Macedonia, Turkey, Ukraine, United Kingdom","Democracy, Elections, Equal democracy, local and regional democracy, Other, Promotion of democratic values and education for democratic citizenship, Strengthening civil society, Education and Culture, Cultural diversity, Education for Democratic Citizenship, Higher Educational, Intercultural Dialogue, Other, Environment and sustanable development, Environment protection, Health, Other, Prevention, Public Health, Human rights, Children's rights, Economics and social rights, Fight against racism, Gender equality, Other, Promotion and defence of Human Rights, International Co-operation, European integration, North-South Dialogue, Other, Media and Communication, Access to information, Freedom of expression, Other, Social Cohension, Children, Fight against poverty and social exclusion, Fight against violence, Migration, Other, Students, Youth, Youth participation, Youth policy","2009"
"Federal Union of European Nationalities","FUEN","Union Fédéraliste des Communautés Européennes","FUEN","Schiffbrücke 41","24939","Flensburg","Germany","+49 461 12 855","+49 461 18 07 09","http://www.fuen.org","info@fuen.org","Membership fees, Public funding, Private donations","Association","Hans Heinrich","HANSEN","Schiffbrücke 41, D 24939 Flensburg","Susann","SCHENK","Schiffbrücke 41, D 24939 Flensburg","1949","5","92","English / German","German / English / Russian / French","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Albania, Austria, Azerbaijan, Belgium, Bulgaria, Croatia, Czech Republic, Danemark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Italy, Latvia, Moldova, Netherlands, Poland, Romania, Russian Federation, Serbia, Slovakia, Slovenia, Sweden, Switzerland, the former Yugoslav Republic of Macedonia, Turkey, Ukraine, United Kingdom","Democracy, Equal democracy, local and regional democracy, Promotion of democratic values and education for democratic citizenship, Strengthening civil society, Education and Culture, Cultural diversity, Education for Democratic Citizenship, Heritage, Intercultural Dialogue, Languages, Human rights, Economics and social rights, Legal protection, Promotion and defence of Human Rights, Rights of Minorities, International Co-operation, Conflict meditation, European integration, Promotion of Peace, Media and Communication, Media and minorities, Other, Rule of Law, Other, Strengthening of international public law, Social Cohension, Fight against poverty and social exclusion, Intercommunity relations and integration, Roma and Travellers, Youth, Youth participation","1986"
"Federation of Associations for Hunting and Conservation of the EU","FACE","Fédération des Associations de chasse et conservation de la faune sauvage de l'UE","FACE","Rue F Pelletier, 82","1030","Brussels","Belgium","+32 2 7326900","+32 2 7327072","www.face.eu","","","Federation","Gilbert","De Turckheim","","Yves","Lecocq","Rue F Pelletier, 82 B - 1030 Brussels","1977","10","36","EN-FR-DE","EN-FR-DE","","Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Slovakia, Sweden, Turkey, Greece, Albania, Latvia, Luxembourg, Malta, Moldova, Bosnia and Herzegovina, Serbia, Iceland, Monaco, United Kingdom, Montenegro","Environment and sustanable development, Conservation/ protection of animals","1986"
"Federation of Catholic Family Associations in Europe","FCFAE","Fédération des Associations Familiales Catholiques en Europe","FAFCE","19 square de Meeûs","B- 1050","Brüssels","Belgium","+32 (0)4 70 20 39 18","","www.fafce.org","m.hildingsson@fafce.org","Member fees, Public funding, Private donations","Federation","Antoine","RENARD","28 place St Georges 75009 PARIS","Maria","HILDINGSSON","19 square de Meeûs 1050 BRUXELLES 0033 6 09 61 02 49","1997","0","0","english - french - german","english - french - german","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Austria, Croatia, Czech Republic, Spain, France, Germany, Hungary, Ireland, Italy, Lithuania, Poland, Portugal, Romania, Slovakia, Malta, Ukraine, United Kingdom","Human rights, Social Cohension, International Co-operation, Education and Culture, Health, Media and Communication, Youth","2001"
"Federation of Europen Film Directors","FERA","Fédération européenne des Réalisateurs de l'Audiovisuel","FERA","Avenue du Toison d'Or, 60c","1060","Bruxelles","Belgium","3222900808","","www.fimdirectors.eu","","Member fees, Public funding, Private donations","Federation","Alan","Parker","as above","Elisabeth","Sjaastad","as above","1980","2","33","","","Education and Culture","Austria, Belgium, Croatia, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Slovakia, Sweden, Greece, Azerbaijan, Latvia, United Kingdom","International Co-operation, Education and Culture, Media and Communication","0"
"Fondation européenne Antonio Bana ""IL NIBBIO"" pour la recherche ornithologique sur les migrations et pour la sauvegarde de l'environnement","FEIN","European Foundation Antonio Bana ""IL NIBBIO"" for Ornithological Research into Migrations and Natural Habitats Conservation","EFIN","","","","","","","","","","Association","","","","","","","0","0","0","","","","","","0"
"Foodfirst Information and Action Network","FIAN","Réseau d'Information et d'Action pour le Droit à se nourrir","FIAN","Willy-Brandt-Platz 5","69115","Heidelberg","Germany","+49 6221 65300 30","+49 6221 65300 33","fian.org","","Member fees, Public funding, Private donations","Association","Irio","CONTI","","Flavio","VALENTE","","1986","0","0","","","Human Rights","Austria, Belgium, France, Germany, Norway, Switzerland, Sweden","Human rights, Promotion and defence of Human Rights, Economics and social rights, Other, Democracy, Promotion of democratic values and education for democratic citizenship, Social Cohension, Fight against poverty and social exclusion, Rule of Law, Strengthening of international public law, Other, Strengthening civil society","0"
"Forum of European Muslim Youth and Student Organizations","FEMYSO","Forum Européen des Organisations Musulmanes de Jeunes et d'Etudiants","FEMYSO","rue archimède, 50","1000","Bruxelles","Belgium","+32 2 280 69 22","+32 2 280 69 23","www.femyso.org","info@femyso.org","Member fees, Public funding","Association","Mohammed","Rehman","London","","","","1996","2","33","English","english","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Austria, Belgium, Danemark, Spain, Finland, France, Germany, Hungary, Ireland, Italy, Netherlands, Poland, Romania, Switzerland, Sweden, Turkey, Albania, the former Yugoslav Republic of Macedonia, Ukraine, Bosnia and Herzegovina, United Kingdom","Human rights, Promotion and defence of Human Rights, Gender equality, Fight against racism, Democracy, Promotion of democratic values and education for democratic citizenship, Social Cohension, Fight against violence, Students, Intercommunity relations and integration, Other, International Co-operation, Promotion of Peace, North-South Dialogue, European integration, Education and Culture, Art, music, theatre, Education for Democratic Citizenship, Cultural policies, Cultural diversity, Religion, Media and Communication, Youth, Rights of Minorities, Youth policy, Youth participation, Intercultural Dialogue, Strengthening civil society","0"
"Foundation for European Languages and Educational Centres","EUROCENTRES","Fondation Centres européens Langues et Civilisations","EUROCENTRES","Seestr. 247","8038","Zurich","Switzerland","","","www.eurocentres.org","info@eurocentres.com","","Association","","","","","","","0","0","0","","","","","","0"
"Foundation for the Economy and Sustainable Development of the Regions of Europe","FEDRE","Fondation pour l’Economie et le Développement durable des Régions d’Europe","FEDRE","de l'Arquebuse 12","1204","Genève","Switzerland","00 41 22 807 17 17","00 41 22 807 17 18","","","Public funding, Private donations","Foundation","Claude","HAEGI","","François","SAINT-OUEN","","1996","5","0","Français","French","Democracy, Social Cohesion and Global Challenges","Bulgaria, Croatia, France, Romania, Slovenia, Switzerland, Turkey, Albania, the former Yugoslav Republic of Macedonia, Moldova, Bosnia and Herzegovina, Serbia, Montenegro","Environment and sustanable development","2000"
"Friedrich Ebert Foundation","FES","Fondation Friedrich Ebert","FES","Godesberger Allee 149","53170","Bonn","Germany","+ 49 228 883","+ 49 228 883 9207","www.fes.de","fes@fes-europe.eu","","Association","","","","","","","0","0","0","","","","","","0"
"Harm Reduction International","IHRA","Harm Reduction International","IHRA","Unit 2D12, South Bank Technopark, 90 London Road","SE1 6LN","London","United Kingdom","+ 44 207 717 1592","","www.ihra.net","","","Association","","","","Rick","Lines","","1996","0","0","","","","Austria, Belgium, Bulgaria, Cyprus, Danemark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, United Kingdom","","2012"
"Helsinki Citizens Assembly","HCA","Assemblée des Citoyens d'Helsinki","HCA","","","","Finland","","","","","","Association","","","","","","","0","0","0","","","","Finland","","0"
"Human Rights House Foundation Network","HRHN","Réseau Human Rights House Foundation","HRHN","Kirkegt, 5","153","Oslo","Norway","","4722416076","www.humanrightshouse.org","hrh@humanrightshouse.org","Public funding, Private donations","Federation","Lars","Christensen","Kirke gt. 5, Oslo, 0153, Norway","Maria","Dahle","Kirkegt. 5, Oslo, 0153, Norway","1994","9","70","English","English","Human Rights","Croatia, Norway, Poland, Switzerland, the former Yugoslav Republic of Macedonia, Georgia, Azerbaijan, Armenia, Ukraine, Bosnia and Herzegovina, Serbia, Russian Federation, United Kingdom, Belarus","Human rights, Democracy, Rule of Law","2012"
"Human Rights Watch","HRW","Human Rights Watch","HRW","350 Fifth Avenue, 34th floor","NY 10118-3","New York","USA","-5201","-2247","www.hrw.org","","","Association","James F.","HOGE Jr","James F. Hoge Jr[","Kenneth","ROTH","Directeur Exécutif","0","0","0","","","","","","0"
"Inclusion International - Inclusion Europe","II/IE","Inclusion International - Inclusion Europe","II/IE","29 chaussee d'Ixelles #393/32","1050","BRUXELLES","Belgium","+32/2/502 28 15","+32/2/502 80 10","www.inclusion-europe.org","","Member fees, Public funding, Private donations","Association","Ivo","VYKYDAL","","Helen","HOLAND","","1988","5","72","","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Belgium, Czech Republic","Human rights, Education and Culture, Health, Youth, Other","0"
"Initiatives of Change-International","IofC","Association internationale Initiatives et Changement","IofC","Case postale 3","CH - 1211","Genève 20","Switzerland","+41 22 733 5668","+41 22 733 0267","www.iofc.org/","","Membership fees, Public funding, Private donations","Association","Dr. Omnia","Marzouk","see above (Genève)","Dr. Imad","Karam","see above (Genève)","2002","4","44","English","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Austria, Canada, Cyprus, Danemark, Finland, France, Germany, Ireland, Italy, Latvia, Moldova, Netherlands, Norway, Poland, South Africa, Sweden, Switzerland, Ukraine, United Kingdom, USA","Democracy, Promotion of democratic values and education for democratic citizenship, Education and Culture, Cultural diversity, Education for Democratic Citizenship, Intercultural Dialogue, Environment and sustanable development, Other, Human rights, Other, Rights of Minorities, International Co-operation, Conflict meditation, European integration, North-South Dialogue, Promotion of Peace, Media and Communication, Media and conflicts, Other, Rule of Law, Fight against corruption, Social Cohension, Family, Intercommunity relations and integration, Youth","2005"
"Intereuropean Commission on Church and School","ICCS","Commission Intereuropéenne sur l'Eglise et l'Ecole","CIEE","7 rue des Magnolias","17800","LaCroix St. Léger","France","+33 (0)5 46 94 99 25","","www.iccsweb.org","","Member fees","Association","Peter","Schreiner","Schreiberstr. 12 48149 Muenster Germany","Heid","Leganger-Krogstad","Norwegian School of Theology P.O.Box 5144 Majorstua 0303 Osl","1954","0","0","English / French / German","","Education and Culture, Human Rights","Austria, Belgium, Bulgaria, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Italy, Netherlands, Norway, Poland, Romania, Switzerland, Slovakia, Sweden, Greece, Georgia, Latvia, United Kingdom","Democracy, Education and Culture, Youth, Other","1986"
"International Alliance of Women","IAW","Alliance International des Femmes","AIF","Ben van Meerendonkstraat 207","1087 LB","Amsterdam","Netherlands","","","","r.gerard13@gmail.com","Private donations","Association","","","","","","","0","0","0","English/French","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","","Democracy, Education and Culture, Health, Human rights, International Co-operation, Other, Social Cohension","0"
"International Antiterrorism Unity","IAU","Union internationale contre le terrorisme","IAU","Glybochitskaya, 28","4050","Kiev-50","Ukraine","+38 044 482-02-24","+38 044 482 37 60","antiterunity.org","","Public funding","Association","Oleksander","Dichek","","","","","2003","0","0","English, Russian, Ukraine","Ukraine","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Bulgaria, Czech Republic, Estonia, Lithuania, Azerbaijan, Latvia, Ukraine, Russian Federation","Human rights, Promotion and defence of Human Rights, Legal protection, Fight against racism, Democracy, Equal democracy, International Co-operation, European integration, Education and Culture, Rule of Law, Media and Communication, Youth, Fight against Terrorism, Youth policy, Intercultural Dialogue, Security, Security and access to Internet","2006"
"International Association for Research in Hospital Hygiene","IARHH","Association internationale pour la Recherche en Hygiène hospitalière","AIRHH","L'Herculis, 12 Chem. de la Turbie","98000","MONACO","Monaco","00 (0)1 40 23 04 10","00 (0)1 40 23 03 12","www.airhh.eu","thierry.mathieu31@gmail.com","Member fees","Association","Henri","DE MONTCLOS","1648 route des Moiroux, 01660 VANDEINS France","Thierry","MATHIEU","L'Herculis, 12 Chemin de la Turbie MC 98000 MONACO","1968","0","800","english, french","french","Democracy, Social Cohesion and Global Challenges","France, Italy, Monaco","Social Cohension, Health","1998"
"International Association for the Defence of Religious LIberty","IADRL","Association Internationale pour la Défense de la Liberté Religieuse","AIDLR","Schosshaldenstr. 17","3006","Bern","Switzerland","+41 31 359 1527","+41 31 359 1566","www.aidlr.org","","Private donations","Association","","","","LIVIU","OLTEANU","","1946","0","0","French, English, German","French, English, German","Human Rights","Austria, Belgium, Bulgaria, Croatia, Czech Republic, Spain, France, Germany, Italy, Netherlands, Poland, Portugal, Romania, Switzerland, Slovakia, Luxembourg, Serbia","Human rights, Legal protection, Other, Rights of Minorities","1985"
"International Association of Charities","AIC","Association Internationale des Charités","AIC","Rampe des Ardennais, 23","1348","Louvain-La-Neuve","Belgium","+32 (0)10 45 63 53","+32 (0) 10 45 80 63","www.aic-international.org","contact@aic-international.org","Private donations","Association","Alicia","DUHNE AGUAYO","","Tayde","DE CALLATAY","","1617","0","0","Français-Anglais-Espagnol","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Belgium, Czech Republic, France, Germany, Italy, Luxembourg, Malta, Poland, Portugal, Slovakia, Spain, Switzerland, Ukraine, United Kingdom, USA","Education and Culture, Health, Human rights, Children's rights, Fight against racism, Gender equality, Promotion and defence of Human Rights, International Co-operation, Humanitarian aid, North-South Dialogue, Social Cohension, Children, Family, Fight against poverty and social exclusion, Fight against violence, Migration, The elderly, Youth","1990"
"International Association of Judges","IAJ","Union internationale des Magistrats","UIM","Palazzo di Giustizia, Piazza Cavour","193","Rome","Italy","+39 06 6883 2213","+39 06 687 11 95","www.iaj-uim.org","","Member fees","Association","Gerhard","REISSNER","","Giacomo","OBERTO","","0","6","0","English, French, Italian, Spanish and German","","","Italy","Human rights, International Co-operation, Rule of Law, Other","0"
"International Association of Lawyers","UIA","Union internationale des Avocats","UIA","25 rue du Jour","75001","PARIS","France","+33 1 44 88 55 66","+33 1 44 88 55 77","www.uianet.org","uiacentre@uianet.org","","Association","Mohammed","ESA","Malaisie","Mary-Daphné","FISHELSON","La Garanderie & Associés 10, Square Beaujon 150 bd Haussma","1927","0","0","","","Democracy, Social Cohesion and Global Challenges, Human Rights","Albania, Austria, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Canada, Croatia, Cyprus, Czech Republic, Danemark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Moldova, Montenegro, Norway, Poland, Portugal, Romania, Russian Federation, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, the former Yugoslav Republic of Macedonia, Turkey, Ukraine, United Kingdom, USA","Democracy, Promotion of democratic values and education for democratic citizenship, Strengthening civil society, Human rights, Children's rights, Economics and social rights, Fight against racism, Gender equality, Legal protection, Other, Prevention of Torture, Promotion and defence of Human Rights, Rights of Minorities, Trafficking in human beings, International Co-operation, Conflict meditation, Rule of Law, Fight against corruption, Fight against Terrorism, Other, Penal Law, Security, Strengthening of international public law, Social Cohension, Migration","0"
"International Association of Refugee Law Judges","IARLJ","Association internationale des Juges du Droit des Réfugiés","IARLJ","P.O. Box 1621","2003","BR Haarlem","Netherlands","+31 23 888 3956","+31 23 888 3979","http://www.iarlj.org/","","","Association","SEBASTIAAN","DE GROOT","","","","","0","0","0","","","","","","0"
"International Association of Social Educators","AIEJI","Association internationale des éducateurs sociaux","AIEJI","Brolaeggerstraede 9","1211 K","Copenhagen K","Danemark","+45 40457844","","www.aieji.net","","Member fees","Association","Benny","Andersen","","Lars","Steinov","c/O Socialpaedagogerne as above","1951","0","87","English","English, French, Spanish","Democracy, Social Cohesion and Global Challenges, Education and Culture","Belgium, Danemark, Spain, Finland, France, Germany, Italy, Netherlands, Norway, Switzerland, Slovakia, Luxembourg, Russian Federation, United Kingdom, Israel","","2013"
"International Association of Youth and Family Judges and Magistrates","AIMJF","Association internationale des Magistrats de la Jeunesse et de la Famille","AIMJF","","","","United Kingdom","","","www.aimjf.org","president@aimjf.org","","Association","Avril","CALDER","Italie","Melo","Eduardo Rezende","Bresil","0","0","0","","","","","","0"
"International Association Rurality-Environment-Development","RED","Association Internationale Ruralité-Environnement-Développement","RED","Rue des Potiers, 304","6717","Attert","Belgium","3263230490","3263230499","www.ruraleurope.org","red@ruraleurope.org","Member fees, Public funding","Association","Gérard","Peltre","Mairie F-55210 Lachaussée","Patrice","Collignon","Rue des Potiers, 304, B-6717 Attert","1980","3","170","French, English, Spanish","French","Democracy, Social Cohesion and Global Challenges","Austria, Belgium, Cyprus, Danemark, Spain, Finland, France, Germany, Hungary, Ireland, Italy, Netherlands, Poland, Portugal, Romania, Switzerland, Sweden, Luxembourg, United Kingdom","Democracy, local and regional democracy, International Co-operation, North-South Dialogue, European integration, Education and Culture, Heritage, Cultural policies, Environment and sustanable development, Environment protection, Land development, Countryside, Rural areas, Sustainable tourism, Conservation/ protection of animals","1986"
"International Baccalaureate Organisation","IBO","Organisation du Baccalauréat international","OBI","route des morillons 15 - Grand-Saconnex","1218","Geneva","Switzerland","+372 735 0222","","www.hm.ee","hm@hm.ee","","Association","","","","","","","0","0","0","","","","","","0"
"International Bar Association","IBA","Association internationale du Barreau","AIB","4th Floor,10 St Bride Street","EC4A 4AD","London","United Kingdom","44 (0) 207 842 0090","44 (0) 207 842 0091","www.ibanet.org","iba@int-bar.org","","Association","Michael","Reynolds","as above","Mark","Ellis","Executive Director","0","0","0","","","","","","0"
"International Catholic Child Bureau","ICCB","Bureau international catholique de l'Enfance","BICE","44 rue de Lausanne","1201","Geneva","Switzerland","41227313248","41227317793","www.bice.org","advocacy@bice.org","Member fees, Public funding, Private donations","Association","Yves","Marie-Lanoe","70 Bvd. de Magenta F-75010 Paris France","Virginie","Dhellemmes","205Chaussée de Wavre B-1050 Brussels Belgium","1958","20","100","","English, French, Spanish","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Belgium, Estonia, France, Germany, Switzerland, Azerbaijan, Latvia, Moldova, Russian Federation","Human rights, Education and Culture, Youth","0"
"International Catholic Migration Commission","ICMC","Commission internationale catholique pour les Migrations","CICM","1 rue de Varembé","PO Box 96","CH 1211 Geneva 20","Switzerland","+ 41 22 919 10 20","+ 41 22 919 10 48","www.icmc.net","info@icmc.net","Member fees, Public funding, Private donations","Association","John","Klink","Mr","Precioso","Cantillas","H.E. Bishop","1951","300","172","English","English, French, Spanish","Democracy, Social Cohesion and Global Challenges, Human Rights","Belgium, Hungary, Switzerland, Turkey, USA","Human rights, Social Cohension, International Co-operation, Rule of Law","0"
"International Catholic Society for Girls","ACISJF","Association catholique internationale des services de la Jeunesse féminine","ACISJF","15 rue des Savoises","1205","GENEVE","Switzerland","","","","acisjf@bluewin.ch","Private donations","Association","Miriam Diaz","CAMARGO","Colombia","","","","1896","0","0","francais anglais espagnol","français anglais","Education and Culture, Human Rights","France, Germany, Italy, Portugal, Spain, Switzerland, United Kingdom","Education and Culture, Health, Human rights, Other, Youth","1975"
"International Chamber of Commerce","ICC","Chambre de Commerce internationale","CCI","","","","","","","","","","Association","","","","","","","0","0","0","","","","","","0"
"International Commission of Jurists","ICJ","Commission internationale de Juristes","CIJ","","","","","","","","","","Association","","","","","","","0","0","0","","","","","","0"
"International Confederation of Professional and Intellectual Workers","CITI","Confédération Internationale des Travailleurs Intellectuels","CITI","17 rue Rubens","75013","PARIS","France","06 84 45 07 89","01 48 73 29 92","","","Member fees, Private donations","Federation","Maurice","LETULLE","3 rue de Montolivet F - 75008 PARIS","Claude-Laurent","GENTY","35 rue du Général Faidherbe F - 94130 NOGENT-sur-MARNE","1950","0","100","Français","Français et Anglais","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Austria, Belgium, Croatia, Spain, France, Germany, Hungary, Ireland, Italy, Netherlands, Romania, Switzerland, Greece, Luxembourg, Monaco, Russian Federation, United Kingdom, USA, Canada","Human rights, Democracy, International Co-operation, Education and Culture, Rule of Law, Environment and sustanable development, Media and Communication, Youth","1958"
